car_id,car_model,used_label,price,exteriorColor,interiorColor,drivetrain,minMPG,maxMPG,fuelType,transmission,engine,mileage
1.0,Toyota Sienna SE,Used,$39,Red,Black,Front-wheel Drive,19.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,29403.0
2.0,Ford F-150 Lariat,Used,$49,Shadow Black,Black,Four-wheel Drive,19.0,24.0,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,32929.0
3.0,RAM 1500 Laramie,Used,$41,Granite Crystal Clearcoat Metallic,Black,Four-wheel Drive,15.0,21.0,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,23173.0
4.0,Honda Accord Sport SE,Used,$28,Gray,–,Front-wheel Drive,29.0,35.0,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,10598.0
5.0,Lexus RX 350,Used,$49,Eminent White Pearl,Birch,Front-wheel Drive,20.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,28137.0
6.0,Toyota 4Runner SR5,Used,$23,Black,–,Rear-wheel Drive,17.0,23.0,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,105469.0
7.0,Honda HR-V LX,Used,$20,Modern Steel Metallic,Black,Front-wheel Drive,28.0,34.0,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,10458.0
8.0,Mercedes-Benz E-Class E 350,Used,$18,Lunar Blue Metallic,Saffron,Rear-wheel Drive,21.0,30.0,Gasoline,7-Speed Automatic,3.5L V6 24V GDI DOHC,58157.0
9.0,Honda Pilot Touring 8-Passenger,Used,$44,Platinum White Pearl,Beige,All-wheel Drive,19.0,26.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,14445.0
10.0,Dodge Charger Scat Pack,Dodge Certified,$46,Triple Nickel Clearcoat,Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,25642.0
11.0,Lexus RC 350 Base,Used,$42,Infrared,Silver,Rear-wheel Drive,19.0,28.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,10236.0
12.0,Lexus GS 350 Base,Used,$16,Gray,Black,Rear-wheel Drive,19.0,28.0,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC,48605.0
13.0,Lexus RX 350 RX 350,Used,$36,Nightfall Mica,Gray,Front-wheel Drive,20.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V GDI DOHC,47729.0
14.0,Dodge Charger Scat Pack,Dodge Certified,$47,White Knuckle Clearcoat,Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,31538.0
15.0,Dodge Charger Scat Pack,Used,$41,Octane Red Pearlcoat,Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,18717.0
16.0,Lexus RC 350 Base,Used,$41,Silver Lining Metallic,Sport,Rear-wheel Drive,19.0,28.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,34102.0
17.0,Ford Explorer XLT,Used,$32,Red,Black,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,61294.0
18.0,Subaru Crosstrek Premium,Used,$25,Cool-Gray Khaki,Black,All-wheel Drive,28.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,11508.0
19.0,Ford Explorer XLT,Used,$33,Red,–,Four-wheel Drive,16.0,22.0,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/213,81375.0
20.0,Ford Explorer XLT,Used,$30,Ruby Red Metallic Tinted Clearcoat,Ebony Black,Front-wheel Drive,17.0,24.0,Gasoline,6-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,28357.0
21.0,Ford Explorer XLT,Used,$32,Shadow Black,Ebony Black,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,33188.0
22.0,Acura RDX A-Spec,Used,$37,Majestic Black Pearl,Red,All-wheel Drive,21.0,26.0,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5188.0
23.0,Acura RDX A-Spec,Used,$38,Apex Blue Pearl,Red,All-wheel Drive,21.0,26.0,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,12878.0
24.0,Ford Explorer XLT,Used,$31,Magnetic,Ebony Black,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,47661.0
25.0,Subaru Forester Sport,Used,$29,Ice Silver Metallic,Gray,All-wheel Drive,26.0,33.0,Gasoline,Automatic CVT,2.5L H4 16V GDI DOHC,10859.0
26.0,Subaru Crosstrek 2.0i Premium,Used,$31,Venetian Red Pearl,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,30849.0
27.0,Subaru Crosstrek 2.0i Premium,Used,$24,Venetian Red Pearl,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,86759.0
28.0,Subaru Crosstrek 2.0i Premium,Used,$24,Crystal White Pearl,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,61053.0
29.0,BMW 435 Gran Coupe i xDrive,Used,$30,White,Coral Red / Black,All-wheel Drive,20.0,30.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,65219.0
30.0,BMW 435 Gran Coupe i xDrive,Used,$30,Gray,Black,All-wheel Drive,20.0,30.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,63055.0
31.0,Honda Odyssey EX-L,Used,$38,Modern Steel Metallic,Gray,Front-wheel Drive,19.0,28.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,64571.0
32.0,Honda Odyssey EX-L,Used,$28,Gray,Beige,Front-wheel Drive,19.0,28.0,Gasoline Fuel,6-Speed A/T,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,56000.0
33.0,Mercedes-Benz GLC 300 Base,Used,$43,Black,Black,Rear-wheel Drive,22.0,29.0,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,34768.0
34.0,Audi Q5 2.0T Premium,Used,$37,Florett Silver Metallic,Black,All-wheel Drive,22.0,27.0,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,26012.0
35.0,BMW 428 i,Used,$27,Glacier Silver Metallic,Black,Rear-wheel Drive,23.0,34.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,48531.0
36.0,Volvo XC60 T5 Momentum,Used,$40,Denim Blue,–,All-wheel Drive,20.0,27.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,10969.0
37.0,Honda Odyssey EX-L,Used,$38,Crystal Black Pearl,Mocha,Front-wheel Drive,19.0,28.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,32201.0
38.0,Lincoln MKZ Standard,Used,$30,Magnetic Gray Metallic,Ebony,Front-wheel Drive,20.0,31.0,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,34686.0
39.0,Subaru Ascent Touring 7-Passenger,Used,$31,Crystal White Pearl,Java Brown,All-wheel Drive,20.0,26.0,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,47226.0
40.0,Land Rover Range Rover Evoque SE Premium,Used,$34,Gray,Beige,Four-wheel Drive,21.0,29.0,Gasoline Fuel,Transmission w/Dual Shift Mode,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,39855.0
41.0,Acura MDX A-Spec,Acura Certified,$58,Performance Red Pearl,Ebony,All-wheel Drive,19.0,25.0,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,12531.0
42.0,Honda Pilot EX-L,Used,$41,Silver Metallic,Gray,Front-wheel Drive,20.0,27.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,15118.0
43.0,Chevrolet Impala Premier 2LZ,Used,$26,Black,–,Front-wheel Drive,19.0,28.0,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,49372.0
44.0,INFINITI G37 x,Used,$17,Gray,Black,All-wheel Drive,18.0,25.0,Gasoline Fuel,7-Speed A/T,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,66560.0
45.0,Honda Civic EX,Used,$22,Modern Steel Metallic,Black / Gray,Front-wheel Drive,31.0,40.0,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,35257.0
46.0,Tesla Model S 75,Used,$47,Silver,White,Rear-wheel Drive,0.0,0.0,Electric Fuel System,A/T,382.0HP Electric Motor Electric Fuel System,84000.0
47.0,Honda Pilot Special Edition,Honda Certified,$43,Steel Sapphire Metallic,Gray,All-wheel Drive,19.0,26.0,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,10563.0
48.0,Jeep Grand Cherokee SRT,Used,$52,Redline 2 Coat Pearl,Sepia / Black,Four-wheel Drive,13.0,19.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,49870.0
49.0,Ford Explorer Limited,Used,$12,White,Beige,Front-wheel Drive,17.0,25.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,117401.0
50.0,BMW M240 i,Used,$33,Alpine White,Oyster/Black,Rear-wheel Drive,21.0,32.0,Gasoline,8-SPEED A/T,Straight 6 Cylinder Engine,60733.0
51.0,Volvo XC60 T5 Inscription,Used,$41,Onyx Black Metallic,Charcoal,Front-wheel Drive,22.0,29.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,36577.0
52.0,Honda Civic EX,Used,$23,Crystal Black Pearl,Black,Front-wheel Drive,31.0,40.0,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,32333.0
53.0,BMW X1 xDrive28i,Used,$32,Alpine White,Black,All-wheel Drive,23.0,31.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,39879.0
54.0,BMW X1 xDrive28i,Used,$30,Jet Black,Black,All-wheel Drive,23.0,31.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,50199.0
55.0,Acura ILX Premium & A-SPEC Packages,Used,$23,White,Red,Front-wheel Drive,24.0,34.0,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,14940.0
56.0,Chrysler 300 S,Used,$30,Gloss Black,Black,Rear-wheel Drive,19.0,30.0,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,19229.0
57.0,Land Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,Used,$53,White,Red,Four-wheel Drive,17.0,23.0,Gasoline Fuel,8-Speed A/T,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,55000.0
58.0,BMW Z4 sDrive30i,Used,$46,Metallic,Ivory White,Rear-wheel Drive,25.0,32.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,23504.0
60.0,Land Rover Range Rover,Used,$51,Santorini Black,Ebony / Ebony,Four-wheel Drive,14.0,19.0,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,54449.0
61.0,Ford F-150 Lariat,Used,$18,Red,Black,Four-wheel Drive,14.0,19.0,E85 Flex Fuel,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,110111.0
62.0,Mazda CX-5 Grand Touring,Used,$25,Jet Black Mica,Black,Front-wheel Drive,25.0,31.0,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,66601.0
63.0,Kia Sportage LX,Used,$18,Black Cherry,Black,Front-wheel Drive,23.0,30.0,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,79336.0
64.0,Volkswagen Tiguan Sport,Used,$20,Reflex Silver Metallic,Charcoal Black,All-wheel Drive,20.0,24.0,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,87957.0
65.0,Chrysler 300 S,Used,$33,Granite Crystal Clearcoat Metallic,Linen,Rear-wheel Drive,19.0,30.0,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,27054.0
66.0,Tesla Model X Performance,Used,$122,White,White,All-wheel Drive,80.0,77.0,Electric Fuel System,1-Speed A/T,Electric Motor Electric Fuel System,29918.0
67.0,Subaru Impreza 2.0i Premium,Used,$4,Ice Silver Metallic,Black,All-wheel Drive,28.0,36.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,67792.0
68.0,Jeep Cherokee Latitude Plus,Used,$27,Diamond Black,Black,Four-wheel Drive,21.0,29.0,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,21870.0
69.0,Jeep Cherokee Latitude Plus,Used,$21,Granite Crystal Metallic Clearcoat,Black,Front-wheel Drive,22.0,31.0,Gasoline,9-SPEED A/T,4 Cylinder Engine,74832.0
70.0,BMW 320 i xDrive,Used,$25,Black Sapphire,Charcoal,All-wheel Drive,23.0,34.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55001.0
71.0,Porsche Cayenne Base,Used,$44,Black,Black,All-wheel Drive,19.0,24.0,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,37979.0
72.0,Nissan Rogue SV,Used,$19,Pearl White,Charcoal,All-wheel Drive,25.0,32.0,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,60122.0
73.0,Mercedes-Benz E-Class E 350 4MATIC,Used,$14,Black,Black,All-wheel Drive,21.0,30.0,Gasoline,driver adaptive 7 speed automatic,V6 Cylinder Engine,92378.0
74.0,BMW X5 xDrive35i Premium,Used,$12,Black,Brown,All-wheel Drive,16.0,23.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,75012.0
75.0,Hyundai Santa Fe SEL 2.4,Used,$30,Portofino Gray,Black,All-wheel Drive,21.0,27.0,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,42185.0
76.0,Hyundai Santa Fe SEL 2.4,Used,$28,Machine Gray,Black / Beige,All-wheel Drive,21.0,27.0,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,27088.0
77.0,Mercedes-Benz AMG E 63 S 4MATIC,Mercedes-Benz Certified,$106,Gray Metallic,Brown,All-wheel Drive,15.0,23.0,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,15113.0
78.0,Mercedes-Benz S-Class S 560 4MATIC,Used,$71,Black,Brown,All-wheel Drive,17.0,27.0,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,18022.0
79.0,Hyundai Santa Fe SEL 2.4,Used,$30,Symphony Silver,Espresso,All-wheel Drive,21.0,27.0,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,26693.0
80.0,Hyundai Elantra SE,Used,$17,Quartz White Pearl,Beige,Front-wheel Drive,30.0,40.0,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,21368.0
81.0,BMW X3 M40i,Used,$49,Phytonic Blue Metallic,Cognac,All-wheel Drive,21.0,27.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,11970.0
82.0,Volkswagen Golf R 2.0T w/DCC & Navigation,Used,$40,Indium Gray Metallic,Titan Black,All-wheel Drive,23.0,30.0,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,32143.0
83.0,Land Rover Range Rover HSE,Used,$52,Santorini Black,Ebony,Four-wheel Drive,17.0,23.0,Gasoline,Automatic,V6,84844.0
84.0,Mercedes-Benz S-Class S 560 4MATIC,Used,$62,Black,White,All-wheel Drive,17.0,27.0,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,35652.0
85.0,BMW 430 Gran Coupe i xDrive,Used,$26,Gray,Coral Red / Black,All-wheel Drive,23.0,33.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,39474.0
86.0,BMW 430 Gran Coupe i xDrive,Used,$25,Gray,Golden Brown,All-wheel Drive,23.0,33.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,42899.0
87.0,Mercedes-Benz GLS 450 4MATIC,Used,$56,Polar White,Ginger,All-wheel Drive,16.0,22.0,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,33427.0
88.0,BMW 430 Gran Coupe i xDrive,Used,$29,Blue,Golden Brown,All-wheel Drive,23.0,33.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,45266.0
89.0,Lexus LS 460 Base,Used,$17,Black,–,All-wheel Drive,16.0,23.0,Gasoline,8-Speed Automatic,4.6L V8 32V PDI DOHC,130602.0
90.0,GMC Yukon Denali,Used,$38,Black,Black,Four-wheel Drive,15.0,21.0,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,36347.0
91.0,Mercedes-Benz GLB 250 Base,Used,$42,Midnight Black,Black,Front-wheel Drive,23.0,30.0,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,11140.0
92.0,Toyota Camry SE,Used,$31,Black,Black,Front-wheel Drive,28.0,39.0,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,27521.0
93.0,Ford Edge Sport,Ford Certified,$33,White Platinum Metallic Tri-Coat,Ebony,All-wheel Drive,17.0,24.0,Gasoline,6-SPEED A/T,V6 Cylinder Engine,23046.0
94.0,Subaru Crosstrek 2.0i Premium,Used,$28,Quartz Blue Pearl,Gray,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,27911.0
95.0,Dodge Charger Scat Pack,Dodge Certified,$49,Frostbite,–,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,24858.0
96.0,Dodge Charger Scat Pack,Used,$40,White Knuckle Clearcoat,Caramel / Black,Rear-wheel Drive,15.0,24.0,Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,21863.0
97.0,Subaru Crosstrek Premium,Used,$26,Yellow Pearl,Black,All-wheel Drive,28.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,7572.0
98.0,Subaru Crosstrek 2.0i Premium,Used,$29,Ice Silver Metallic,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,8832.0
99.0,Subaru Crosstrek 2.0i Premium,Used,$27,Dark Gray Metallic,Black,All-wheel Drive,27.0,33.0,Gasoline,Automatic CVT,2.0L H4 16V GDI DOHC,70778.0
100.0,Toyota 4Runner Limited,Toyota Certified,$51,Midnight Black Metallic,Redwood,Four-wheel Drive,16.0,19.0,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,20606.0
101.0,Ford F-150,Used,$25,–,–,Rear-wheel Drive,15.0,22.0,E85 Flex Fuel,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,135228.0
102.0,Audi Q5 2.0T Premium,Used,$35,Manhattan Gray Metallic,Black,All-wheel Drive,22.0,27.0,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,36644.0
103.0,Audi Q5 2.0T Premium,Used,$38,Brilliant Black,Black,All-wheel Drive,22.0,27.0,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,21349.0
104.0,Audi A5 2.0T Premium,Used,$14,Phantom Black Pearl,Black,All-wheel Drive,21.0,29.0,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,116693.0
105.0,Lexus RC F Base,Used,$51,Gray,–,Rear-wheel Drive,16.0,25.0,Gasoline,8-Speed Automatic,5.0L V8 32V PDI DOHC,29597.0
106.0,Dodge Challenger R/T,Used,$33,Burgundy,Gray,Rear-wheel Drive,15.0,23.0,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,18752.0
107.0,Mazda CX-5 Grand Touring,Used,$18,Jet Black Mica,Black,All-wheel Drive,24.0,30.0,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,57000.0
108.0,Honda Accord EX-L,Used,$21,Black,Black,Front-wheel Drive,21.0,34.0,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,92614.0
109.0,Chevrolet Camaro 2SS,Used,$29,Gray,Adrenaline Red,Rear-wheel Drive,16.0,25.0,Gasoline,8-Speed Automatic,6.2L V8 16V GDI OHV,78378.0
110.0,Nissan Rogue S,Used,$16,Caspian Blue,Gray,All-wheel Drive,25.0,32.0,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,47061.0
111.0,Toyota Highlander SE,Used,$39,White,Almond,Front-wheel Drive,21.0,27.0,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,27027.0
112.0,Chevrolet Cruze LS,Used,$21,Silver Ice Metallic,Jet Black,Front-wheel Drive,28.0,38.0,Gasoline,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,29865.0
113.0,Chevrolet Traverse Premier,Used,$36,Iridescent Pearl Tricoat,Jet Black,Front-wheel Drive,18.0,27.0,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,56722.0
114.0,Nissan Murano SV,Used,$27,Deep Blue Pearl,Graphite,Front-wheel Drive,20.0,28.0,Gasoline,Automatic CVT,3.5L V6 24V MPFI DOHC,41010.0
115.0,BMW 540 i xDrive,Used,$47,Dark Graphite Metallic,Black,All-wheel Drive,21.0,29.0,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,26042.0
116.0,Volkswagen Atlas 3.6L SEL Premium,Used,$49,Aurora Red Metallic,Titan Black / Quarzit,All-wheel Drive,16.0,22.0,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,10640.0
117.0,Chevrolet Tahoe LTZ,Used,$28,White Diamond Tri-Coat,Cocoa / Dune,Four-wheel Drive,16.0,22.0,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,139597.0
118.0,Honda Civic Sport,Used,$19,White,Black,Front-wheel Drive,29.0,37.0,Gasoline,Automatic,Engine: 2.0L I-4 DOHC 16-Valve i-VTEC,20164.0
119.0,Nissan Rogue SL,Used,$26,Magnetic Black,–,All-wheel Drive,25.0,32.0,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,53043.0
120.0,Honda Pilot Special Edition,Used,$43,Steel Sapphire Metallic,Gray,All-wheel Drive,19.0,26.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,22250.0
121.0,Hyundai Tucson SE,Used,$18,Molten Silver,Gray,All-wheel Drive,21.0,26.0,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,93960.0
122.0,Honda Pilot Special Edition,Used,$42,–,–,All-wheel Drive,19.0,26.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,15002.0
123.0,Buick Enclave Essence,Used,$34,Summit White,Shale,Front-wheel Drive,18.0,26.0,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,26135.0
124.0,Buick Enclave Essence,Used,$34,Ebony Twilight Metallic,Dark Galvanized,Front-wheel Drive,18.0,26.0,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,17542.0
125.0,Jeep Wrangler Unlimited Sport,Used,$26,Firecracker Red,Black,Four-wheel Drive,16.0,21.0,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,113580.0
126.0,Buick Enclave Essence,Used,$36,Satin Steel Metallic,Dark Galvanized,Front-wheel Drive,18.0,26.0,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,29500.0
127.0,BMW X5 M Base,Used,$70,Carbon Black Metallic,Aragon Brown,All-wheel Drive,14.0,19.0,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,33757.0
128.0,Genesis GV80 2.5T,Used,$55,Himalayan Gray,Black,Rear-wheel Drive,21.0,25.0,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC Turbo,26663.0
129.0,Chevrolet Tahoe Z71,Used,$70,Summit White,Black,Four-wheel Drive,16.0,20.0,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,24054.0
130.0,Genesis GV80 2.5T,Used,$68,Uyuni White,Black,All-wheel Drive,21.0,25.0,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC Turbo,11049.0
131.0,Acura MDX 3.5L w/Advance Package,Used,$24,Gray,Graystone,All-wheel Drive,19.0,26.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,63014.0
132.0,Toyota RAV4 Sport,Used,$8,Black,Black,Four-wheel Drive,21.0,28.0,Gasoline,5-Speed Automatic,3.5L V6 24V MPFI DOHC,141372.0
133.0,Chevrolet Suburban 1500 LT,Used,$33,Black,Jet Black,Four-wheel Drive,15.0,22.0,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,79436.0
134.0,Ford F-150 XLT,Used,$34,Ingot Silver Metallic,Black,Four-wheel Drive,17.0,23.0,Gasoline,6-Speed Automatic,2.7L V6 24V GDI DOHC Twin Turbo,23349.0
135.0,Acura MDX 3.5L w/Technology Package,Used,$45,Modern Steel Metallic,Ebony,Front-wheel Drive,20.0,27.0,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,15150.0
